iter	Passed	Remaining
1134	28632	122728
1135	28654	122690
1136	28677	122653
1137	28702	122630
1138	28724	122589
1139	28749	122563
1140	28772	122529
1141	28799	122512
1142	28823	122481
1143	28844	122439
1144	28869	122412
1145	28893	122381
1146	28917	122351
1147	28942	122326
1148	28964	122285
1149	28983	122236
1150	29003	122188
1151	29026	122153
1152	29049	122120
1153	29072	122083
1154	29094	122045
1155	29114	121999
1156	29135	121957
1157	29161	121934
1158	29181	121885
1159	29200	121836
1160	29226	121816
1161	29244	121760
1162	29265	121716
1163	29286	121676
1164	29310	121644
1165	29332	121607
1166	29355	121574
1167	29382	121556
1168	29407	121527
1169	29428	121486
1170	29454	121466
1171	29477	121430
1172	29502	121403
1173	29523	121363
1174	29544	121322
1175	29563	121272
1176	29587	121242
1177	29611	121209
1178	29634	121176
1179	29655	121133
1180	29675	121088
1181	29697	121050
1182	29722	121026
1183	29744	120986
1184	29763	120938
1185	29788	120913
1186	29810	120875
1187	29837	120855
1188	29857	120810
1189	29881	120779
1190	29904	120748
1191	29929	120722
1192	29952	120689
1193	29979	120669
1194	30001	120635
1195	30023	120596
1196	30053	120589
1197	30073	120545
1198	30097	120515
1199	30118	120475
1200	30146	120462
1201	30167	120419
1202	30189	120380
1203	30208	120333
1204	30229	120290
1205	30256	120272
1206	30282	120251
1207	30309	120234
1208	30335	120213
1209	30362	120194
1210	30391	120183
1211	30419	120173
1212	30442	120140
1213	30468	120118
1214	30491	120082
1215	30513	120046
1216	30536	120014
1217	30566	120005
1218	30592	119987
1219	30619	119969
1220	30640	119927
1221	30661	119887
1222	30688	119866
1223	30707	119820
1224	30732	119793
1225	30752	119750
1226	30779	119729
1227	30801	119693
1228	30824	119659
1229	30847	119626
1230	30868	119587
1231	30890	119551
1232	30912	119512
1233	30936	119484
1234	30960	119453
1235	30981	119413
1236	31005	119384
1237	31028	119351
1238	31050	119314
1239	31075	119287
1240	31094	119240
1241	31117	119208
1242	31141	119179
1243	31165	119148
1244	31186	119110
1245	31206	119065
1246	31228	119027
1247	31250	118993
1248	31275	118968
1249	31294	118920
1250	31322	118903
1251	31343	118866
1252	31368	118840
1253	31388	118797
