iter	RMSE
1776	0.06609762316
1777	0.06608639931
1778	0.06605976632
1779	0.06603011218
1780	0.06601946996
1781	0.06600037816
1782	0.06599531835
1783	0.06598510369
1784	0.0659800718
1785	0.06596692032
1786	0.06595534266
1787	0.06593856396
1788	0.06592568989
1789	0.06591448647
1790	0.06590379321
1791	0.06589756881
1792	0.06588502739
1793	0.06587419168
1794	0.06586409158
1795	0.06583359518
1796	0.06581939068
1797	0.06580746429
1798	0.06578940623
1799	0.06576766455
1800	0.06575877382
1801	0.06575330372
1802	0.06574570896
1803	0.06572501757
1804	0.06571364078
1805	0.06570261325
1806	0.06568935955
1807	0.06567917589
1808	0.0656688442
1809	0.06565719485
1810	0.06564447314
1811	0.06563081814
1812	0.0656229419
1813	0.06561792185
1814	0.06560649094
1815	0.06559510367
1816	0.06558962369
1817	0.06557144762
1818	0.0655624123
1819	0.06555566449
1820	0.06554855421
1821	0.06553972243
1822	0.06552868738
1823	0.06549889913
1824	0.06548968439
1825	0.06547141501
1826	0.06546727838
1827	0.06544821326
1828	0.06543130357
1829	0.06542352056
1830	0.06541882702
1831	0.06540925389
1832	0.06539478153
1833	0.06538743492
1834	0.06538110776
1835	0.06537387554
1836	0.06534580338
1837	0.06533383035
1838	0.06532025635
1839	0.06531572686
1840	0.06530074273
1841	0.06529395299
1842	0.06528532294
1843	0.06526145767
1844	0.06525084377
1845	0.06524686674
1846	0.06523826221
1847	0.06522410047
1848	0.06519932581
1849	0.06518204421
1850	0.06514290591
1851	0.06513716527
1852	0.06512308761
1853	0.06511233897
1854	0.06510263768
1855	0.06508458977
1856	0.06507812319
1857	0.06506720512
1858	0.06506006919
1859	0.06503143597
1860	0.06502024954
1861	0.06501001536
1862	0.0650023657
1863	0.06499331378
1864	0.06497120111
1865	0.0649568728
1866	0.06494740914
1867	0.06494164942
1868	0.06492809386
1869	0.06491609261
1870	0.06490605831
1871	0.06490022057
1872	0.06488035094
1873	0.06486675082
1874	0.06485973066
1875	0.06484422338
1876	0.06483916895
1877	0.06483548304
1878	0.06482712094
1879	0.06481560682
1880	0.06481200321
1881	0.06479979701
1882	0.06478681624
1883	0.06478018684
1884	0.06477407251
1885	0.06476307877
1886	0.06474954951
1887	0.06473437376
1888	0.06471368404
1889	0.06470420766
1890	0.06469237214
1891	0.06467843059
1892	0.06466586092
1893	0.06464122703
1894	0.06463391656
1895	0.06462294116
1896	0.06460673863
1897	0.06459921558
1898	0.06458651764
1899	0.06457101518
1900	0.06456205684
1901	0.06455116037
1902	0.06452083486
1903	0.06451661262
1904	0.06450329494
1905	0.06449846119
1906	0.06448473683
1907	0.06447570826
1908	0.06446832515
1909	0.06445366838
1910	0.06444692811
1911	0.06442855708
1912	0.06441321305
1913	0.06439380023
1914	0.06437725928
1915	0.06435649002
1916	0.06434363581
1917	0.06431195913
1918	0.0643038855
1919	0.06429771223
1920	0.0642928553
1921	0.06427745372
1922	0.06426735256
1923	0.06425832694
1924	0.06423299604
1925	0.06422945893
1926	0.06421910688
1927	0.06420199855
1928	0.06419124802
1929	0.06418511197
1930	0.06417975903
1931	0.06416981292
1932	0.06415467903
1933	0.06413786402
1934	0.06413148131
1935	0.06411942311
1936	0.06409767344
1937	0.06407321843
1938	0.06406756645
1939	0.06406189449
1940	0.06405537149
